卡号        余额        交易额      日期       时间      钱包流水号 POS流水号   原POS流水号    操作员号    终端序列号  附加数据  商品编号     钱包索引号 记录类型    消费模式     商户      餐段   MAC
0000065793  0010969500        -700  2007-08-09 11:54:23  00226      0001995664  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010968700        -800  2007-08-09 11:54:25  00227      0001995665  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010967800        -900  2007-08-09 11:54:26  00228      0001995666  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010967700        -100  2007-08-09 11:54:27  00229      0001995667  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010967500        -200  2007-08-09 11:54:28  00230      0001995668  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010967200        -300  2007-08-09 11:54:29  00231      0001995669  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010966800        -400  2007-08-09 11:54:31  00232      0001995670  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010966300        -500  2007-08-09 11:54:32  00233      0001995671  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010965700        -600  2007-08-09 11:54:33  00234      0001995672  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010965000        -700  2007-08-09 11:54:34  00235      0001995673  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010964200        -800  2007-08-09 11:54:35  00236      0001995674  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010963300        -900  2007-08-09 11:54:36  00237      0001995675  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010963200        -100  2007-08-09 11:54:40  00238      0001995676  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010963000        -200  2007-08-09 11:54:41  00239      0001995677  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010962700        -300  2007-08-09 11:54:42  00240      0001995678  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010962300        -400  2007-08-09 11:54:44  00241      0001995679  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010961800        -500  2007-08-09 11:54:45  00242      0001995680  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010961200        -600  2007-08-09 11:54:46  00243      0001995681  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010960500        -700  2007-08-09 11:54:47  00244      0001995682  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010959700        -800  2007-08-09 11:54:48  00245      0001995683  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010958800        -900  2007-08-09 11:54:49  00246      0001995684  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010958700        -100  2007-08-09 11:54:56  00247      0001995685  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010958500        -200  2007-08-09 11:54:57  00248      0001995686  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010958400        -100  2007-08-09 11:55:07  00249      0001995687  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010958200        -200  2007-08-09 11:55:08  00250      0001995688  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010957900        -300  2007-08-09 11:55:10  00251      0001995689  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010957500        -400  2007-08-09 11:55:11  00252      0001995690  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010957000        -500  2007-08-09 11:55:12  00253      0001995691  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010956400        -600  2007-08-09 11:55:13  00254      0001995692  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010955700        -700  2007-08-09 11:55:14  00255      0001995693  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010954900        -800  2007-08-09 11:55:15  00256      0001995694  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010954000        -900  2007-08-09 11:55:16  00001      0001995695  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010953900        -100  2007-08-09 11:55:20  00002      0001995696  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010953800        -100  2007-08-09 11:55:23  00003      0001995697  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010953600        -200  2007-08-09 11:55:27  00004      0001995698  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010953300        -300  2007-08-09 11:55:32  00005      0001995699  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010953200        -100  2007-08-09 11:55:42  00006      0001995700  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010953000        -200  2007-08-09 11:55:44  00007      0001995701  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010952700        -300  2007-08-09 11:55:45  00008      0001995702  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010952300        -400  2007-08-09 11:55:46  00009      0001995703  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010951800        -500  2007-08-09 11:55:47  00010      0001995704  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010951200        -600  2007-08-09 11:55:48  00011      0001995705  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010950500        -700  2007-08-09 11:55:50  00012      0001995706  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010949700        -800  2007-08-09 11:55:51  00013      0001995707  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010948800        -900  2007-08-09 11:55:52  00014      0001995708  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010948700        -100  2007-08-09 11:55:53  00015      0001995709  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010948500        -200  2007-08-09 11:55:55  00016      0001995710  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010948200        -300  2007-08-09 11:55:56  00017      0001995711  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010947800        -400  2007-08-09 11:55:57  00018      0001995712  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010947300        -500  2007-08-09 11:55:58  00019      0001995713  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010946700        -600  2007-08-09 11:55:59  00020      0001995714  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010946000        -700  2007-08-09 11:56:00  00021      0001995715  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010945200        -800  2007-08-09 11:56:01  00022      0001995716  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010944300        -900  2007-08-09 11:56:03  00023      0001995717  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010944200        -100  2007-08-09 11:56:04  00024      0001995718  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010944000        -200  2007-08-09 11:56:05  00025      0001995719  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010943700        -300  2007-08-09 11:56:06  00026      0001995720  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010943300        -400  2007-08-09 11:56:07  00027      0001995721  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010942800        -500  2007-08-09 11:56:09  00028      0001995722  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010942200        -600  2007-08-09 11:56:10  00029      0001995723  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010941500        -700  2007-08-09 11:56:11  00030      0001995724  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010940700        -800  2007-08-09 11:56:12  00031      0001995725  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010936200        -900  2007-08-09 11:56:50  00040      0001995734  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010937100        -800  2007-08-09 11:56:49  00039      0001995733  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010937900        -700  2007-08-09 11:56:48  00038      0001995732  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010938600        -600  2007-08-09 11:56:47  00037      0001995731  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010939200        -500  2007-08-09 11:56:46  00036      0001995730  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010939700        -400  2007-08-09 11:56:45  00035      0001995729  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010940100        -300  2007-08-09 11:56:44  00034      0001995728  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010940400        -200  2007-08-09 11:56:42  00033      0001995727  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010940600        -100  2007-08-09 11:56:40  00032      0001995726  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010936100        -100  2007-08-09 11:57:50  00041      0001995735  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010935900        -200  2007-08-09 11:57:51  00042      0001995736  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010945800        -100  2007-08-09 11:59:32  00044      0001995738  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010945700        -100  2007-08-09 12:00:30  00045      0001995739  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010945500        -200  2007-08-09 12:00:31  00046      0001995740  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010945200        -300  2007-08-09 12:00:33  00047      0001995741  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010945900       10000  2007-08-09 11:59:32  00043      0001995737  0000000000     0000000000  0750070728  00000     00001        000        219         000          01102  1 01
0000035670  0000007450        -100  2007-08-22 08:56:56  00031      0000000598  0000000000     0000000000  0604040090  00000     00001        001        065         000          00079  1 01
